*Generic
Reference Type	Author	Secondary Author	Year	Title	Secondary Title	Publisher	Volume	Number	Pages	Section	ISBN/ISSN	Abstract	Author Address	Keywords	Language	Edition	DOI	URL
Generic	Hanken, N. M. ;Harper, David A. T. 		1985	The taxonomy, shell structure, and palaeoecology of the trimerellid brachiopod <i>Gasconsia</i> Northrop			28		243-254									
Generic	Benedetto, Juan L. 		2009	<i>Chaniella</i>, a new lower Tremadocian (Ordovician) brachiopod from northwestern Argentina and its phylogenetic relationships within basal rhynchonelliforms			83	3	393-405									
Journal Article	Topper, Timothy P. ;Harper, David A.T. ;Ahlberg, Per 		2013	Reappraisal of the brachiopod <i>Acrotreta socialis</i> von Seebach, 1865: clarifying 150 years of confusion			135	2	191-203									
Journal Article	Zhang, Zhi-Liang ;Zhang, Zhi-Fei ;Wang, Hai-Zhou 		2016	Epithelial cell moulds preserved in the earliest acrotretid brachiopods from the Cambrian (Series 2) of the Three Gorges area, China			138	4	455-466									
Conference Proceedings	Butler, Aodhán D. ;Streng, Michael ;Garwood, Russell ;Lowe, Tristian ;Holmer, Lars E. 		2012	Constructing Cambrian body-plans: critical evaluation of tommotiid and stem-brachiopod character homologies [Exceptional preservation of <i>Micrina</i> setae and 3D MicroCT reconstruction confirm the tommotiid stem-group brachiopod link]			56		61									
Journal Article	Zhang, Zhi-Fei ;Shu, De-Gan ;Han, Jian ;Liu, Jian-Ni 		2007	A gregarious lingulid brachiopod <i>Longtancunella chengjiangensis</i> from the Lower Cambrian, South China			40	1	11-18									
Generic	Jin, Yu-Gan ;Wang, Hua-Yu 		1992	Revision of the Lower Cambrian brachiopod <i>Heliomedusa</i> Sun & Hou, 1987			24		35-49									
Journal Article	Williams, Alwyn ;Cusack, Maggie ;Buckman, James O. 		1998	Chemico-structural phylogeny of the discinoid brachiopod shell			353	1378	2005-2038									
Journal Article	Watkins, Rodney 		2002	New record of the trimerellid brachiopod <i>Gasconsia</i>, a rare Silurian Lazarus taxon			76	1	185-186									
Journal Article	Emig, Christian C. 		1992	Functional disposition of the lophophore in living Brachiopoda			25	3	291-302									
Generic	Elliott, Graham F. 		1939	Note on the musclature of <i>Terebratulina wardenensis</i> of the London clay			50	2	159-161									
Journal Article	Skovsted, Christian B. ;Peel, John S. 		2010	Early Cambrian brachiopods and other shelly fossils from the basal Kinzers Formation of Pennsylvania			84	4	754-762									
Journal Article	Robson, Sean P. ;Pratt, Brian R. 		2001	Cambrian and Ordovician linguliform brachiopods from the Shallow Bay Formation (Cow Head Group), western Newfoundland			75	2	241-260									
Journal Article	Lee, D. E. ;Brunton, C. Howard C. 		1986	<i>Neocrania</i> n. gen., and a revision of Cretaceous-Recent brachiopod genera in the family Craniidae			40	4	141-160									
Journal Article	Dzik, Jerzy 		1980	Ontogeny of <i>Bactrotheca</i> and related hyoliths			102	3	223-233									
Journal Article	Cooper, G. Arthur 		1976	Lower Cambrian Brachiopods from the Rift Valley (Israel and Jordan)			50	2	269-289									
Book Section	Hou, Xian-Guang ;Siveter, David J. ;Siveter, Derek J. ;Aldridge, Richard J. ;Pei-yun, Cong ;Gabbott, Sarah E. ;Purnell, Mark A. 		2017	Brachiopoda														
Journal Article	Carlson, Sandra J. 		1995	Phylogenetic relationships among extant brachiopods			11		131-197									
Book	Ruppert, E.E. ;Fox, R. S. ;Barnes, R. D. 		2004						990									
Journal Article	Zhang, Zhi-Fei ;Shu, De-Gan ;Han, Jian ;Liu, Jian-Ni 		2004	New data on the lophophore anatomy of Early Cambrian linguloids from the Chengjiang Lagerstätte, Southwest China			4		1-7									
Journal Article	Zhang, Zhi-Fei ;Han, Jian ;Zhang, Xing-Liang ;Liu, Jian-Ni ;Shu, De-Gan 		2004	Soft-tissue preservation in the Lower Cambrian linguloid brachiopod from South China			49	2	259-266									
Generic	Williams, Alwyn 		1989	Biomineralization in the Lophophorates			5		67-82									
Journal Article	Freeman, Gary ;Lundelius, Judith W. 		1999	Changes in the timing of mantle formation and larval life history traits in linguliform and craniiform brachiopods			32		197-217									
Generic	Williams, Alwyn ;Racheboeuf, P. R. ;Savage, N. M. ;Lee, D. E. ;Popov, L. E. ;Carlson, S. J. ;Logan, Alan ;Lüter, Carsten ;Cusack, Maggie ;Curry, G. B. ;Wright, A. D. ;Harper, D. A. T. ;Cohen, B. L. ;Cocks, L. R. M. ;MacKinnon, D. I. ;Smirnova, T. N. ;Baker, P. G. ;Carter, J. L. ;Gourvennec, Rémy ;Manceñido, M. O. ;Brunton, C. H. C. ;Dong-Li, Sun ;Boucot, A. J. ;Bassett, M. G. ;Alvarez, Fernando ;Holmer, L. E. ;Mergl, Michael ;Emig, C. C. ;Rubel, Madis ;Jia-Yu, Rong 		2007	Part H, Brachiopoda (Revised)			6		2321-3226									
Journal Article	Gorjansky, Wladimir Ju. ;Popov, Leonid Ye. 		1986	On the origin and systematic position of the calcareous-shelled inarticulate brachiopods			19		223-240									
Journal Article	Balthasar, Uwe ;Cusack, Maggie ;Faryma, L. ;Chung, P. ;Holmer, L. E. ;Jin, J. ;Percival, I. G. ;Popov, L. E. 		2011	Relic aragonite from Ordovician-Silurian brachiopods: Implications for the evolution of calcification			39	10	967-970									
Journal Article	Skovsted, Christian B. ;Holmer, Lars E. 		2003	Early Cambrian (Botomian) stem group brachiopod <i>Mickwitzia</i> from Northeast Greenland			48	1	1-20									
Journal Article	Balthasar, Uwe 		2009	The brachiopod <i>Eoobolus</i> from the early Cambrian Mural Formation (Canadian Rocky Mountains)			83	3	407-417									
Journal Article	Balthasar, Uwe 		2007	An early Cambrian organophosphatic brachiopod with calcitic granules			50	6	1319-1325								10.1111/j.1475-4983.2007.00729.x	
Journal Article	Kuzmina, T. V. ;Malakhov, V. V. 		2007	Structure of the Brachiopod Lophophore			41	5	520-536									
Journal Article	Sutton, Mark D. ;Briggs, Derek E. G. ;Siveter, David J. ;Siveter, Derek J. 		2005	Silurian brachiopods with soft-tissue preservation			436	7053	1013-1015									
